cuid,cuname,cu_acronym,du_number,DU_name,du_acronym,trtc_cu,FULL_CU_IN,spp,gen_length,COSEWIC_status,last_assessed,ca_check_012022,Area,Species,OU No.,Outlook Unit Name,Conservation Unit,SMU
1205,Stewart,Stew,CK63,Pelly River Stream Summer,PELLY,NA,CK-74,Chinook,NA,NA,NA,y,YUKON / TRANS,Chinook,54,Yukon,CK::Stewart,YUKON CHINOOK SALMON
1203,Pelly,Pelly,CK63,Pelly River Stream Summer,PELLY,NA,CK-72,Chinook,NA,NA,NA,y,YUKON / TRANS,Chinook,54,Yukon,CK::Pelly,YUKON CHINOOK SALMON
1102,Yukon River-Teslin headwaters,Teslin,CK60,Yukon - Teslin Headwaters Stream Summer,YUK-TESLIN,NA,CK-68,Chinook,NA,NA,NA,"from DU report ""CU68 and CU69 could not be separated for ES.",YUKON / TRANS,Chinook,54,Yukon,CK::Yukon River-Teslin headwaters,YUKON CHINOOK SALMON
1200,Upper Yukon River,UpperYR,CK60,Yukon - Teslin Headwaters Stream Summer,YUK-TESLIN,NA,CK-69,Chinook,NA,NA,NA,"from DU report ""CU68 and CU69 could not be separated for ES.",YUKON / TRANS,Chinook,54,Yukon,CK::Upper Yukon River,YUKON CHINOOK SALMON
205,Ecstall,NA,CK41,"Ecstall, Ocean, Summer",ECST,CN_46,CK-46,Chinook,6,NA,NA,y,NORTH COAST,Chinook,50,Skeena,CK::Ecstall,SKEENA CHINOOK SALMON
206,Kalum-early timing,NA,CK43,"Kalum ? Early Timing, Stream, Spring",KALUM-E,CN_49,CK-49,Chinook,6,NA,NA,y,NORTH COAST,Chinook,50,Skeena,CK::Kalum-early timing,SKEENA CHINOOK SALMON
207,Kalum-late timing,NA,CK44,"Kalum ? Late Timing, Stream, Summer",KALUM-L,CN_50,CK-50,Chinook,6,NA,NA,y,NORTH COAST,Chinook,50,Skeena,CK::Kalum-late timing,SKEENA CHINOOK SALMON
210,Lower Skeena-CK,NA,CK42,"Lower Skeena, Stream, Summer",LSK,CN_48,CK-48,Chinook,6,NA,NA,y,NORTH COAST,Chinook,50,Skeena,CK::Lower Skeena,SKEENA CHINOOK SALMON
212,Upper Skeena-CK,NA,CK48,"Upper Skeena River, Stream, Spring",USK,NA,CK-56,Chinook,6,NA,NA,y,NORTH COAST,Chinook,50,Skeena,CK::Upper Skeena,SKEENA CHINOOK SALMON
217,Middle Skeena-mainstem tributaries,NA,CK47,"Middle Skeena-M/S Tributary, Stream, Summer",MSK-M/S,CN_54,CK-54,Chinook,6,NA,NA,y,NORTH COAST,Chinook,50,Skeena,CK::Middle Skeena-mainstem tributaries,SKEENA CHINOOK SALMON
