,CUID,Species,Year,LGL counts,Total run,Region
1,401,Chinook,1950,NA,NA,Nass
2,402,Chinook,1950,NA,NA,Nass
3,405,Chum,1950,NA,NA,Nass
4,406,Chum,1950,NA,NA,Nass
5,404,Chum,1950,NA,NA,Nass
6,408,Coho,1950,NA,NA,Nass
7,410,Coho,1950,NA,NA,Nass
8,409,Coho,1950,NA,NA,Nass
9,414,Pink (Odd),1950,NA,NA,Nass
10,219,Pink (Even),1950,NA,NA,Nass
11,412,Pink (Even),1950,NA,NA,Nass
12,415,Pink (Odd),1950,NA,NA,Nass
13,420,Lake Sockeye,1950,NA,NA,Nass
14,418,Lake Sockeye,1950,NA,NA,Nass
15,421,Lake Sockeye,1950,NA,NA,Nass
16,422,Lake Sockeye,1950,NA,NA,Nass
17,423,Lake Sockeye,1950,NA,NA,Nass
18,419,Lake Sockeye,1950,NA,NA,Nass
19,424,Lake Sockeye,1950,NA,NA,Nass
20,425,Lake Sockeye,1950,NA,NA,Nass
21,426,River Sockeye,1950,NA,NA,Nass
22,427,River Sockeye,1950,NA,NA,Nass
23,401,Chinook,1951,NA,NA,Nass
24,402,Chinook,1951,NA,NA,Nass
25,405,Chum,1951,NA,NA,Nass
26,406,Chum,1951,NA,NA,Nass
27,404,Chum,1951,NA,NA,Nass
28,408,Coho,1951,NA,NA,Nass
29,410,Coho,1951,NA,NA,Nass
30,409,Coho,1951,NA,NA,Nass
31,414,Pink (Odd),1951,NA,NA,Nass
32,219,Pink (Even),1951,NA,NA,Nass
33,412,Pink (Even),1951,NA,NA,Nass
34,415,Pink (Odd),1951,NA,NA,Nass
35,420,Lake Sockeye,1951,NA,NA,Nass
36,418,Lake Sockeye,1951,NA,NA,Nass
37,421,Lake Sockeye,1951,NA,NA,Nass
38,422,Lake Sockeye,1951,NA,NA,Nass
39,423,Lake Sockeye,1951,NA,NA,Nass
40,419,Lake Sockeye,1951,NA,NA,Nass
41,424,Lake Sockeye,1951,NA,NA,Nass
42,425,Lake Sockeye,1951,NA,NA,Nass
43,426,River Sockeye,1951,NA,NA,Nass
44,427,River Sockeye,1951,NA,NA,Nass
45,401,Chinook,1952,NA,NA,Nass
