,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
53,302,Chinook,1950,NA,NA,NA,Fraser
115,302,Chinook,1951,NA,NA,NA,Fraser
177,302,Chinook,1952,NA,NA,NA,Fraser
239,302,Chinook,1953,NA,NA,NA,Fraser
301,302,Chinook,1954,NA,NA,NA,Fraser
363,302,Chinook,1955,NA,NA,NA,Fraser
425,302,Chinook,1956,NA,NA,NA,Fraser
487,302,Chinook,1957,NA,NA,NA,Fraser
549,302,Chinook,1958,NA,NA,NA,Fraser
611,302,Chinook,1959,NA,NA,NA,Fraser
673,302,Chinook,1960,NA,NA,NA,Fraser
735,302,Chinook,1961,NA,NA,NA,Fraser
797,302,Chinook,1962,NA,NA,NA,Fraser
859,302,Chinook,1963,NA,NA,NA,Fraser
921,302,Chinook,1964,NA,NA,NA,Fraser
983,302,Chinook,1965,NA,NA,NA,Fraser
1045,302,Chinook,1966,NA,NA,NA,Fraser
1107,302,Chinook,1967,NA,NA,NA,Fraser
1169,302,Chinook,1968,NA,NA,NA,Fraser
1231,302,Chinook,1969,NA,NA,NA,Fraser
1293,302,Chinook,1970,NA,NA,NA,Fraser
1355,302,Chinook,1971,NA,NA,NA,Fraser
1417,302,Chinook,1972,NA,NA,NA,Fraser
1479,302,Chinook,1973,NA,NA,NA,Fraser
1541,302,Chinook,1974,NA,NA,NA,Fraser
1603,302,Chinook,1975,NA,NA,NA,Fraser
1665,302,Chinook,1976,NA,NA,NA,Fraser
1727,302,Chinook,1977,NA,NA,NA,Fraser
1789,302,Chinook,1978,NA,NA,NA,Fraser
1851,302,Chinook,1979,NA,NA,NA,Fraser
1913,302,Chinook,1980,NA,NA,NA,Fraser
1975,302,Chinook,1981,NA,NA,NA,Fraser
2037,302,Chinook,1982,NA,NA,NA,Fraser
2099,302,Chinook,1983,NA,NA,NA,Fraser
2161,302,Chinook,1984,NA,NA,NA,Fraser
2223,302,Chinook,1985,NA,NA,NA,Fraser
