"","population","year","escapement","lwr95CI","upr95CI","CU","DU"
"1","Lower Mainstem",1985,4058,2994,5100,"CK-76","CK-66"
"2","Lower Mainstem",1986,7446,6063,8838,"CK-76","CK-66"
"3","Lower Mainstem",1987,4647,3470,5836,"CK-76","CK-66"
"4","Lower Mainstem",1988,1784,1199,2349,"CK-76","CK-66"
"5","Lower Mainstem",1989,1257,381,2145,"CK-76","CK-66"
"6","Lower Mainstem",1990,1529,733,2322,"CK-76","CK-66"
"7","Lower Mainstem",1991,12476,10593,14436,"CK-76","CK-66"
"8","Lower Mainstem",1992,5671,4306,7040,"CK-76","CK-66"
"9","Lower Mainstem",1993,10986,9232,12731,"CK-76","CK-66"
"10","Lower Mainstem",1994,14309,11966,16599,"CK-76","CK-66"
"11","Lower Mainstem",1995,8293,6550,10061,"CK-76","CK-66"
"12","Lower Mainstem",1996,11579,9503,13678,"CK-76","CK-66"
"13","Lower Mainstem",1997,10748,9167,12290,"CK-76","CK-66"
"14","Lower Mainstem",1998,1327,698,2034,"CK-76","CK-66"
"15","Lower Mainstem",1999,5612,4496,6709,"CK-76","CK-66"
"16","Lower Mainstem",2000,6717,5457,7993,"CK-76","CK-66"
"17","Lower Mainstem",2001,6989,4502,9473,"CK-76","CK-66"
"18","Lower Mainstem",2002,8321,6585,10041,"CK-76","CK-66"
"19","Lower Mainstem",2003,15582,12815,18273,"CK-76","CK-66"
"20","Lower Mainstem",2004,11399,9411,13318,"CK-76","CK-66"
"21","Lower Mainstem",2005,11414,9058,13701,"CK-76","CK-66"
"22","Lower Mainstem",2006,14333,13571,15093,"CK-76","CK-66"
"23","Lower Mainstem",2007,4237,2584,5908,"CK-76","CK-66"
"24","Lower Mainstem",2008,4655,3953,5363,"CK-76","CK-66"
"25","Lower Mainstem",2009,7719,5939,9808,"CK-76","CK-66"
"26","Lower Mainstem",2010,3996,2518,5527,"CK-76","CK-66"
"27","Lower Mainstem",2011,2967,2030,3921,"CK-76","CK-66"
"28","Lower Mainstem",2012,7382,6734,8020,"CK-76","CK-66"
"29","Lower Mainstem",2013,1091,108,2420,"CK-76","CK-66"
"30","Lower Mainstem",2014,1890,758,2960,"CK-76","CK-66"
"31","Lower Mainstem",2015,11973,10834,13104,"CK-76","CK-66"
"32","Lower Mainstem",2016,15288,8445,17615,"CK-76","CK-66"
"33","Lower Mainstem",2017,10607,10051,11164,"CK-76","CK-66"
"34","Lower Mainstem",2018,10398,10029,10778,"CK-76","CK-66"
"35","Lower Mainstem",2019,3162,2164,5089,"CK-76","CK-66"
"36","White-Donjek",1985,2688,1483,3848,"CK-75","CK-65"
"37","White-Donjek",1986,4007,2472,5489,"CK-75","CK-65"
"38","White-Donjek",1987,3077,1895,4276,"CK-75","CK-65"
"39","White-Donjek",1988,3387,2193,4558,"CK-75","CK-65"
"40","White-Donjek",1989,9485,3641,14962,"CK-75","CK-65"
"41","White-Donjek",1990,6620,3212,11382,"CK-75","CK-65"
"42","White-Donjek",1991,4437,411,6083,"CK-75","CK-65"
"43","White-Donjek",1992,3082,1871,4292,"CK-75","CK-65"
"44","White-Donjek",1993,6589,5078,8115,"CK-75","CK-65"
"45","White-Donjek",1994,5497,3822,7192,"CK-75","CK-65"
"46","White-Donjek",1995,3480,1822,10982,"CK-75","CK-65"
"47","White-Donjek",1996,9235,6987,11460,"CK-75","CK-65"
"48","White-Donjek",1997,3642,2492,4817,"CK-75","CK-65"
"49","White-Donjek",1998,6070,4682,7478,"CK-75","CK-65"
"50","White-Donjek",1999,2972,1899,4065,"CK-75","CK-65"
"51","White-Donjek",2000,4608,3229,5990,"CK-75","CK-65"
"52","White-Donjek",2001,4513,2660,6319,"CK-75","CK-65"
"53","White-Donjek",2002,2000,951,3049,"CK-75","CK-65"
"54","White-Donjek",2003,8315,6339,10297,"CK-75","CK-65"
"55","White-Donjek",2004,3139,1701,4587,"CK-75","CK-65"
"56","White-Donjek",2005,7343,5028,9717,"CK-75","CK-65"
"57","White-Donjek",2006,3505,1310,5797,"CK-75","CK-65"
"58","White-Donjek",2007,5855,5530,6184,"CK-75","CK-65"
"59","White-Donjek",2008,1696,1115,2265,"CK-75","CK-65"
"60","White-Donjek",2009,5684,3854,14371,"CK-75","CK-65"
"61","White-Donjek",2010,4340,2821,5879,"CK-75","CK-65"
"62","White-Donjek",2011,1819,681,3230,"CK-75","CK-65"
"63","White-Donjek",2012,1438,626,2258,"CK-75","CK-65"
"64","White-Donjek",2013,574,82,1232,"CK-75","CK-65"
"65","White-Donjek",2014,7658,1479,8770,"CK-75","CK-65"
"66","White-Donjek",2015,6715,5230,8190,"CK-75","CK-65"
"67","White-Donjek",2016,9678,8703,18100,"CK-75","CK-65"
"68","White-Donjek",2017,10382,9863,10920,"CK-75","CK-65"
"69","White-Donjek",2018,2296,1303,7794,"CK-75","CK-65"
"70","White-Donjek",2019,5037,1253,6331,"CK-75","CK-65"
"71","Pelly",1985,5917,4395,7514,"CK-72","CK-64"
"72","Pelly",1986,9146,6945,11338,"CK-72","CK-64"
"73","Pelly",1987,7457,5748,9083,"CK-72","CK-64"
"74","Pelly",1988,6962,386,13284,"CK-72","CK-64"
"75","Pelly",1989,7869,1266,15273,"CK-72","CK-64"
"76","Pelly",1990,16298,3692,47953,"CK-72","CK-64"
"77","Pelly",1991,7887,5606,12296,"CK-72","CK-64"
"78","Pelly",1992,9120,6740,11350,"CK-72","CK-64"
"79","Pelly",1993,5281,3708,6850,"CK-72","CK-64"
"80","Pelly",1994,6128,4453,7835,"CK-72","CK-64"
"81","Pelly",1995,9833,3418,12650,"CK-72","CK-64"
"82","Pelly",1996,6148,4213,8084,"CK-72","CK-64"
"83","Pelly",1997,8679,5995,11296,"CK-72","CK-64"
"84","Pelly",1998,7255,5652,8806,"CK-72","CK-64"
"85","Pelly",1999,5012,3672,6404,"CK-72","CK-64"
"86","Pelly",2000,5780,4274,7278,"CK-72","CK-64"
"87","Pelly",2001,6641,4144,9065,"CK-72","CK-64"
"88","Pelly",2002,5265,3749,6769,"CK-72","CK-64"
"89","Pelly",2003,12749,9790,15700,"CK-72","CK-64"
"90","Pelly",2004,9270,6903,11636,"CK-72","CK-64"
"91","Pelly",2005,8228,6276,10167,"CK-72","CK-64"
"92","Pelly",2006,13240,11123,15358,"CK-72","CK-64"
"93","Pelly",2007,9217,7547,10917,"CK-72","CK-64"
"94","Pelly",2008,4132,3518,4747,"CK-72","CK-64"
"95","Pelly",2009,13566,11875,15125,"CK-72","CK-64"
"96","Pelly",2010,3860,3173,4610,"CK-72","CK-64"
"97","Pelly",2011,6361,5065,8089,"CK-72","CK-64"
"98","Pelly",2012,3934,2503,5312,"CK-72","CK-64"
"99","Pelly",2013,3338,2505,4199,"CK-72","CK-64"
"100","Pelly",2014,10186,6704,12397,"CK-72","CK-64"
"101","Pelly",2015,12583,11396,13770,"CK-72","CK-64"
"102","Pelly",2016,7827,6424,15076,"CK-72","CK-64"
"103","Pelly",2017,8930,7614,10246,"CK-72","CK-64"
"104","Pelly",2018,6098,4913,7310,"CK-72","CK-64"
"105","Pelly",2019,7429,5922,8722,"CK-72","CK-64"
"106","Stewart",1985,3951,2692,5204,"CK-74","CK-64"
"107","Stewart",1986,4577,2968,6197,"CK-74","CK-64"
"108","Stewart",1987,3177,2101,4249,"CK-74","CK-64"
"109","Stewart",1988,10276,1,15336,"CK-74","CK-64"
"110","Stewart",1989,10214,2326,16746,"CK-74","CK-64"
"111","Stewart",1990,16871,3860,34925,"CK-74","CK-64"
"112","Stewart",1991,3271,2091,4477,"CK-74","CK-64"
