CUID,Species,Region,Year,Spawner.Abundance,cu_name_pse
500,Chum,Central Coast,1950,-989898,Smith Inlet
500,Chum,Central Coast,1951,-989898,Smith Inlet
500,Chum,Central Coast,1952,-989898,Smith Inlet
500,Chum,Central Coast,1953,-989898,Smith Inlet
500,Chum,Central Coast,1954,48216,Smith Inlet
500,Chum,Central Coast,1955,10366,Smith Inlet
500,Chum,Central Coast,1956,28929,Smith Inlet
500,Chum,Central Coast,1957,30135,Smith Inlet
500,Chum,Central Coast,1958,91610,Smith Inlet
500,Chum,Central Coast,1959,28327,Smith Inlet
500,Chum,Central Coast,1960,36793,Smith Inlet
500,Chum,Central Coast,1961,22812,Smith Inlet
500,Chum,Central Coast,1962,48567,Smith Inlet
500,Chum,Central Coast,1963,68436,Smith Inlet
500,Chum,Central Coast,1964,67405,Smith Inlet
500,Chum,Central Coast,1965,4710,Smith Inlet
500,Chum,Central Coast,1966,1472,Smith Inlet
500,Chum,Central Coast,1967,45403,Smith Inlet
500,Chum,Central Coast,1968,54675,Smith Inlet
500,Chum,Central Coast,1969,7800,Smith Inlet
500,Chum,Central Coast,1970,54233,Smith Inlet
500,Chum,Central Coast,1971,25775,Smith Inlet
500,Chum,Central Coast,1972,101978,Smith Inlet
500,Chum,Central Coast,1973,150165,Smith Inlet
500,Chum,Central Coast,1974,61635,Smith Inlet
500,Chum,Central Coast,1975,23533,Smith Inlet
500,Chum,Central Coast,1976,25775,Smith Inlet
500,Chum,Central Coast,1977,103099,Smith Inlet
500,Chum,Central Coast,1978,75249,Smith Inlet
500,Chum,Central Coast,1979,17419,Smith Inlet
500,Chum,Central Coast,1980,113992,Smith Inlet
500,Chum,Central Coast,1981,118201,Smith Inlet
500,Chum,Central Coast,1982,154327,Smith Inlet
500,Chum,Central Coast,1983,77690,Smith Inlet
500,Chum,Central Coast,1984,33671,Smith Inlet
500,Chum,Central Coast,1985,54014,Smith Inlet
500,Chum,Central Coast,1986,136412,Smith Inlet
500,Chum,Central Coast,1987,80482,Smith Inlet
500,Chum,Central Coast,1988,92676,Smith Inlet
500,Chum,Central Coast,1989,31989,Smith Inlet
500,Chum,Central Coast,1990,70550,Smith Inlet
500,Chum,Central Coast,1991,47710,Smith Inlet
500,Chum,Central Coast,1992,23106,Smith Inlet
500,Chum,Central Coast,1993,27373,Smith Inlet
500,Chum,Central Coast,1994,31237,Smith Inlet
500,Chum,Central Coast,1995,75356,Smith Inlet
500,Chum,Central Coast,1996,46051,Smith Inlet
500,Chum,Central Coast,1997,11118,Smith Inlet
500,Chum,Central Coast,1998,16738,Smith Inlet
500,Chum,Central Coast,1999,27051,Smith Inlet
500,Chum,Central Coast,2000,51036,Smith Inlet
500,Chum,Central Coast,2001,95415,Smith Inlet
500,Chum,Central Coast,2002,132795,Smith Inlet
500,Chum,Central Coast,2003,116317,Smith Inlet
500,Chum,Central Coast,2004,103742,Smith Inlet
500,Chum,Central Coast,2005,39091,Smith Inlet
500,Chum,Central Coast,2006,71792,Smith Inlet
500,Chum,Central Coast,2007,30908,Smith Inlet
500,Chum,Central Coast,2008,24128,Smith Inlet
500,Chum,Central Coast,2009,29739,Smith Inlet
500,Chum,Central Coast,2010,7884,Smith Inlet
500,Chum,Central Coast,2011,15900,Smith Inlet
500,Chum,Central Coast,2012,16561,Smith Inlet
500,Chum,Central Coast,2013,40051,Smith Inlet
500,Chum,Central Coast,2014,17433,Smith Inlet
500,Chum,Central Coast,2015,-989898,Smith Inlet
500,Chum,Central Coast,2016,8106,Smith Inlet
500,Chum,Central Coast,2017,9707,Smith Inlet
500,Chum,Central Coast,2018,25862,Smith Inlet
500,Chum,Central Coast,2019,4766,Smith Inlet
500,Chum,Central Coast,2020,4510,Smith Inlet
500,Chum,Central Coast,2021,3305,Smith Inlet
500,Chum,Central Coast,2022,-989898,Smith Inlet
500,Chum,Central Coast,2023,-989898,Smith Inlet
501,Chum,Central Coast,1950,-989898,Rivers Inlet
501,Chum,Central Coast,1951,-989898,Rivers Inlet
501,Chum,Central Coast,1952,-989898,Rivers Inlet
501,Chum,Central Coast,1953,-989898,Rivers Inlet
501,Chum,Central Coast,1954,37340,Rivers Inlet
501,Chum,Central Coast,1955,5342,Rivers Inlet
501,Chum,Central Coast,1956,16758,Rivers Inlet
501,Chum,Central Coast,1957,25459,Rivers Inlet
501,Chum,Central Coast,1958,154535,Rivers Inlet
501,Chum,Central Coast,1959,13470,Rivers Inlet
501,Chum,Central Coast,1960,19019,Rivers Inlet
501,Chum,Central Coast,1961,15132,Rivers Inlet
501,Chum,Central Coast,1962,19774,Rivers Inlet
501,Chum,Central Coast,1963,19585,Rivers Inlet
501,Chum,Central Coast,1964,22792,Rivers Inlet
501,Chum,Central Coast,1965,1253,Rivers Inlet
501,Chum,Central Coast,1966,58755,Rivers Inlet
501,Chum,Central Coast,1967,11049,Rivers Inlet
501,Chum,Central Coast,1968,17271,Rivers Inlet
501,Chum,Central Coast,1969,3009,Rivers Inlet
501,Chum,Central Coast,1970,24819,Rivers Inlet
501,Chum,Central Coast,1971,12483,Rivers Inlet
501,Chum,Central Coast,1972,24665,Rivers Inlet
501,Chum,Central Coast,1973,10825,Rivers Inlet
501,Chum,Central Coast,1974,37268,Rivers Inlet
501,Chum,Central Coast,1975,8943,Rivers Inlet
501,Chum,Central Coast,1976,954,Rivers Inlet
501,Chum,Central Coast,1977,3387,Rivers Inlet
501,Chum,Central Coast,1978,37633,Rivers Inlet
501,Chum,Central Coast,1979,4433,Rivers Inlet
501,Chum,Central Coast,1980,23076,Rivers Inlet
501,Chum,Central Coast,1981,13466,Rivers Inlet
501,Chum,Central Coast,1982,187782,Rivers Inlet
501,Chum,Central Coast,1983,51113,Rivers Inlet
501,Chum,Central Coast,1984,9584,Rivers Inlet
501,Chum,Central Coast,1985,43902,Rivers Inlet
501,Chum,Central Coast,1986,267784,Rivers Inlet
501,Chum,Central Coast,1987,92600,Rivers Inlet
501,Chum,Central Coast,1988,24275,Rivers Inlet
501,Chum,Central Coast,1989,4678,Rivers Inlet
501,Chum,Central Coast,1990,4555,Rivers Inlet
501,Chum,Central Coast,1991,2374,Rivers Inlet
501,Chum,Central Coast,1992,8900,Rivers Inlet
501,Chum,Central Coast,1993,1518,Rivers Inlet
501,Chum,Central Coast,1994,9511,Rivers Inlet
501,Chum,Central Coast,1995,27199,Rivers Inlet
501,Chum,Central Coast,1996,10471,Rivers Inlet
501,Chum,Central Coast,1997,10028,Rivers Inlet
501,Chum,Central Coast,1998,68081,Rivers Inlet
501,Chum,Central Coast,1999,17771,Rivers Inlet
