CUID,Species,Year,Region,LGL.counts,CU.name
217,Chinook,1984,Skeena,2190,Middle_Skeena
217,Chinook,1985,Skeena,3240,Middle_Skeena
217,Chinook,1986,Skeena,2490,Middle_Skeena
217,Chinook,1987,Skeena,22297,Middle_Skeena
217,Chinook,1988,Skeena,9532,Middle_Skeena
217,Chinook,1989,Skeena,10789,Middle_Skeena
217,Chinook,1990,Skeena,4353,Middle_Skeena
217,Chinook,1991,Skeena,4503,Middle_Skeena
217,Chinook,1992,Skeena,10196,Middle_Skeena
217,Chinook,1993,Skeena,21280,Middle_Skeena
217,Chinook,1994,Skeena,14965,Middle_Skeena
217,Chinook,1995,Skeena,7633,Middle_Skeena
217,Chinook,1996,Skeena,15086,Middle_Skeena
217,Chinook,1997,Skeena,9015,Middle_Skeena
217,Chinook,1998,Skeena,6720,Middle_Skeena
217,Chinook,1999,Skeena,6860,Middle_Skeena
217,Chinook,2000,Skeena,12917,Middle_Skeena
217,Chinook,2001,Skeena,18935,Middle_Skeena
217,Chinook,2002,Skeena,5804,Middle_Skeena
217,Chinook,2003,Skeena,13421,Middle_Skeena
217,Chinook,2004,Skeena,16911,Middle_Skeena
217,Chinook,2005,Skeena,8707,Middle_Skeena
217,Chinook,2006,Skeena,11280,Middle_Skeena
217,Chinook,2007,Skeena,12736,Middle_Skeena
217,Chinook,2008,Skeena,9426,Middle_Skeena
217,Chinook,2009,Skeena,10503,Middle_Skeena
217,Chinook,2010,Skeena,12456,Middle_Skeena
217,Chinook,2011,Skeena,3150,Middle_Skeena
217,Chinook,2012,Skeena,3598,Middle_Skeena
217,Chinook,2013,Skeena,9038,Middle_Skeena
217,Chinook,2014,Skeena,6174,Middle_Skeena
217,Chinook,2015,Skeena,6560,Middle_Skeena
217,Chinook,2016,Skeena,2471,Middle_Skeena
217,Chinook,2017,Skeena,2390,Middle_Skeena
217,Chinook,2018,Skeena,6063,Middle_Skeena
217,Chinook,2019,Skeena,2010,Middle_Skeena
217,Chinook,2020,Skeena,1544,Middle_Skeena
212,Chinook,1984,Skeena,1448,Upper_Skeena
212,Chinook,1985,Skeena,1992,Upper_Skeena
212,Chinook,1986,Skeena,740,Upper_Skeena
212,Chinook,1987,Skeena,7440,Upper_Skeena
212,Chinook,1988,Skeena,4272,Upper_Skeena
212,Chinook,1989,Skeena,2493,Upper_Skeena
212,Chinook,1990,Skeena,2070,Upper_Skeena
212,Chinook,1991,Skeena,2336,Upper_Skeena
212,Chinook,1992,Skeena,7222,Upper_Skeena
212,Chinook,1993,Skeena,12208,Upper_Skeena
212,Chinook,1994,Skeena,9238,Upper_Skeena
212,Chinook,1995,Skeena,7551,Upper_Skeena
212,Chinook,1996,Skeena,17849,Upper_Skeena
212,Chinook,1997,Skeena,9526,Upper_Skeena
212,Chinook,1998,Skeena,5782,Upper_Skeena
212,Chinook,1999,Skeena,3812,Upper_Skeena
212,Chinook,2000,Skeena,5909,Upper_Skeena
212,Chinook,2001,Skeena,14254,Upper_Skeena
212,Chinook,2002,Skeena,2948,Upper_Skeena
212,Chinook,2003,Skeena,6315,Upper_Skeena
212,Chinook,2004,Skeena,7904,Upper_Skeena
212,Chinook,2005,Skeena,4552,Upper_Skeena
212,Chinook,2006,Skeena,3840,Upper_Skeena
212,Chinook,2007,Skeena,5745,Upper_Skeena
212,Chinook,2008,Skeena,5366,Upper_Skeena
212,Chinook,2009,Skeena,5284,Upper_Skeena
212,Chinook,2010,Skeena,5596,Upper_Skeena
212,Chinook,2011,Skeena,1128,Upper_Skeena
212,Chinook,2012,Skeena,1511,Upper_Skeena
212,Chinook,2013,Skeena,2499,Upper_Skeena
212,Chinook,2014,Skeena,3498,Upper_Skeena
212,Chinook,2015,Skeena,2271,Upper_Skeena
212,Chinook,2016,Skeena,1302,Upper_Skeena
212,Chinook,2017,Skeena,2268,Upper_Skeena
212,Chinook,2018,Skeena,2197,Upper_Skeena
212,Chinook,2019,Skeena,1161,Upper_Skeena
212,Chinook,2020,Skeena,1518,Upper_Skeena
222,Chinook,1984,Skeena,19097,Large_Lake
222,Chinook,1985,Skeena,12930,Large_Lake
222,Chinook,1986,Skeena,7596,Large_Lake
222,Chinook,1987,Skeena,33831,Large_Lake
222,Chinook,1988,Skeena,22802,Large_Lake
222,Chinook,1989,Skeena,33819,Large_Lake
222,Chinook,1990,Skeena,11437,Large_Lake
222,Chinook,1991,Skeena,16259,Large_Lake
222,Chinook,1992,Skeena,42393,Large_Lake
222,Chinook,1993,Skeena,54143,Large_Lake
222,Chinook,1994,Skeena,42423,Large_Lake
222,Chinook,1995,Skeena,26979,Large_Lake
222,Chinook,1996,Skeena,51321,Large_Lake
222,Chinook,1997,Skeena,18976,Large_Lake
222,Chinook,1998,Skeena,14172,Large_Lake
222,Chinook,1999,Skeena,19165,Large_Lake
222,Chinook,2000,Skeena,20918,Large_Lake
222,Chinook,2001,Skeena,35016,Large_Lake
222,Chinook,2002,Skeena,12180,Large_Lake
222,Chinook,2003,Skeena,30731,Large_Lake
222,Chinook,2004,Skeena,46617,Large_Lake
222,Chinook,2005,Skeena,25126,Large_Lake
222,Chinook,2006,Skeena,20080,Large_Lake
222,Chinook,2007,Skeena,21942,Large_Lake
222,Chinook,2008,Skeena,14507,Large_Lake
222,Chinook,2009,Skeena,27563,Large_Lake
222,Chinook,2010,Skeena,27131,Large_Lake
222,Chinook,2011,Skeena,12548,Large_Lake
222,Chinook,2012,Skeena,6399,Large_Lake
222,Chinook,2013,Skeena,10286,Large_Lake
222,Chinook,2014,Skeena,16857,Large_Lake
222,Chinook,2015,Skeena,23745,Large_Lake
222,Chinook,2016,Skeena,12685,Large_Lake
222,Chinook,2017,Skeena,4595,Large_Lake
222,Chinook,2018,Skeena,11192,Large_Lake
222,Chinook,2019,Skeena,8360,Large_Lake
222,Chinook,2020,Skeena,6809,Large_Lake
210,Chinook,1984,Skeena,1213,Lower_Skeena
210,Chinook,1985,Skeena,2692,Lower_Skeena
210,Chinook,1986,Skeena,1109,Lower_Skeena
210,Chinook,1987,Skeena,6852,Lower_Skeena
210,Chinook,1988,Skeena,2545,Lower_Skeena
210,Chinook,1989,Skeena,3065,Lower_Skeena
210,Chinook,1990,Skeena,1898,Lower_Skeena
210,Chinook,1991,Skeena,2998,Lower_Skeena
210,Chinook,1992,Skeena,5323,Lower_Skeena
210,Chinook,1993,Skeena,3772,Lower_Skeena
210,Chinook,1994,Skeena,1986,Lower_Skeena
210,Chinook,1995,Skeena,2587,Lower_Skeena
210,Chinook,1996,Skeena,5113,Lower_Skeena
210,Chinook,1997,Skeena,1994,Lower_Skeena
210,Chinook,1998,Skeena,2200,Lower_Skeena
210,Chinook,1999,Skeena,3518,Lower_Skeena
210,Chinook,2000,Skeena,5635,Lower_Skeena
210,Chinook,2001,Skeena,8077,Lower_Skeena
210,Chinook,2002,Skeena,2561,Lower_Skeena
210,Chinook,2003,Skeena,6173,Lower_Skeena
210,Chinook,2004,Skeena,5449,Lower_Skeena
210,Chinook,2005,Skeena,1951,Lower_Skeena
210,Chinook,2006,Skeena,4659,Lower_Skeena
210,Chinook,2007,Skeena,4262,Lower_Skeena
210,Chinook,2008,Skeena,3464,Lower_Skeena
210,Chinook,2009,Skeena,2880,Lower_Skeena
210,Chinook,2010,Skeena,3276,Lower_Skeena
210,Chinook,2011,Skeena,1233,Lower_Skeena
210,Chinook,2012,Skeena,1347,Lower_Skeena
210,Chinook,2013,Skeena,3274,Lower_Skeena
210,Chinook,2014,Skeena,2248,Lower_Skeena
210,Chinook,2015,Skeena,2932,Lower_Skeena
210,Chinook,2016,Skeena,720,Lower_Skeena
210,Chinook,2017,Skeena,1201,Lower_Skeena
210,Chinook,2018,Skeena,2483,Lower_Skeena
210,Chinook,2019,Skeena,746,Lower_Skeena
210,Chinook,2020,Skeena,1341,Lower_Skeena
229,Chinook,1984,Skeena,669,Zymoetz_Fiddler
229,Chinook,1985,Skeena,1637,Zymoetz_Fiddler
229,Chinook,1986,Skeena,1262,Zymoetz_Fiddler
229,Chinook,1987,Skeena,5597,Zymoetz_Fiddler
229,Chinook,1988,Skeena,2923,Zymoetz_Fiddler
229,Chinook,1989,Skeena,224,Zymoetz_Fiddler
229,Chinook,1990,Skeena,1460,Zymoetz_Fiddler
229,Chinook,1991,Skeena,2246,Zymoetz_Fiddler
229,Chinook,1992,Skeena,6688,Zymoetz_Fiddler
229,Chinook,1993,Skeena,3348,Zymoetz_Fiddler
229,Chinook,1994,Skeena,1988,Zymoetz_Fiddler
229,Chinook,1995,Skeena,2425,Zymoetz_Fiddler
229,Chinook,1996,Skeena,2415,Zymoetz_Fiddler
229,Chinook,1997,Skeena,2144,Zymoetz_Fiddler
229,Chinook,1998,Skeena,1465,Zymoetz_Fiddler
229,Chinook,1999,Skeena,2287,Zymoetz_Fiddler
229,Chinook,2000,Skeena,2994,Zymoetz_Fiddler
229,Chinook,2001,Skeena,6257,Zymoetz_Fiddler
229,Chinook,2002,Skeena,2512,Zymoetz_Fiddler
229,Chinook,2003,Skeena,3440,Zymoetz_Fiddler
229,Chinook,2004,Skeena,5087,Zymoetz_Fiddler
229,Chinook,2005,Skeena,2869,Zymoetz_Fiddler
229,Chinook,2006,Skeena,3178,Zymoetz_Fiddler
229,Chinook,2007,Skeena,3371,Zymoetz_Fiddler
229,Chinook,2008,Skeena,2028,Zymoetz_Fiddler
229,Chinook,2009,Skeena,2090,Zymoetz_Fiddler
229,Chinook,2010,Skeena,3356,Zymoetz_Fiddler
229,Chinook,2011,Skeena,1817,Zymoetz_Fiddler
229,Chinook,2012,Skeena,1256,Zymoetz_Fiddler
229,Chinook,2013,Skeena,2226,Zymoetz_Fiddler
229,Chinook,2014,Skeena,1555,Zymoetz_Fiddler
229,Chinook,2015,Skeena,1812,Zymoetz_Fiddler
229,Chinook,2016,Skeena,346,Zymoetz_Fiddler
229,Chinook,2017,Skeena,557,Zymoetz_Fiddler
229,Chinook,2018,Skeena,1977,Zymoetz_Fiddler
229,Chinook,2019,Skeena,1245,Zymoetz_Fiddler
229,Chinook,2020,Skeena,738,Zymoetz_Fiddler
207,Chinook,1984,Skeena,9535,Kitsumkalum
207,Chinook,1985,Skeena,9047,Kitsumkalum
207,Chinook,1986,Skeena,8046,Kitsumkalum
207,Chinook,1987,Skeena,15516,Kitsumkalum
207,Chinook,1988,Skeena,15823,Kitsumkalum
207,Chinook,1989,Skeena,17782,Kitsumkalum
207,Chinook,1990,Skeena,11089,Kitsumkalum
207,Chinook,1991,Skeena,9236,Kitsumkalum
207,Chinook,1992,Skeena,10841,Kitsumkalum
207,Chinook,1993,Skeena,13148,Kitsumkalum
207,Chinook,1994,Skeena,13972,Kitsumkalum
207,Chinook,1995,Skeena,6476,Kitsumkalum
207,Chinook,1996,Skeena,8567,Kitsumkalum
207,Chinook,1997,Skeena,4647,Kitsumkalum
207,Chinook,1998,Skeena,5981,Kitsumkalum
207,Chinook,1999,Skeena,9000,Kitsumkalum
207,Chinook,2000,Skeena,10141,Kitsumkalum
207,Chinook,2001,Skeena,17830,Kitsumkalum
207,Chinook,2002,Skeena,11189,Kitsumkalum
207,Chinook,2003,Skeena,17492,Kitsumkalum
207,Chinook,2004,Skeena,19633,Kitsumkalum
207,Chinook,2005,Skeena,11340,Kitsumkalum
207,Chinook,2006,Skeena,8369,Kitsumkalum
207,Chinook,2007,Skeena,11709,Kitsumkalum
207,Chinook,2008,Skeena,6862,Kitsumkalum
207,Chinook,2009,Skeena,8307,Kitsumkalum
207,Chinook,2010,Skeena,8890,Kitsumkalum
207,Chinook,2011,Skeena,6706,Kitsumkalum
207,Chinook,2012,Skeena,6264,Kitsumkalum
207,Chinook,2013,Skeena,11311,Kitsumkalum
207,Chinook,2014,Skeena,9993,Kitsumkalum
207,Chinook,2015,Skeena,14854,Kitsumkalum
207,Chinook,2016,Skeena,9537,Kitsumkalum
207,Chinook,2017,Skeena,4132,Kitsumkalum
207,Chinook,2018,Skeena,9550,Kitsumkalum
207,Chinook,2019,Skeena,6673,Kitsumkalum
207,Chinook,2020,Skeena,4777,Kitsumkalum
