CUID,Species,Year,LGL counts,Total run,Region
219,Pink (Even),1950,NA,NA,Nass
219,Pink (Even),1951,NA,NA,Nass
219,Pink (Even),1952,NA,NA,Nass
219,Pink (Even),1953,NA,NA,Nass
219,Pink (Even),1954,843146,1522547,Nass
219,Pink (Even),1955,NA,NA,Nass
219,Pink (Even),1956,493389,1247491,Nass
219,Pink (Even),1957,NA,NA,Nass
219,Pink (Even),1958,530174,997927,Nass
219,Pink (Even),1959,NA,NA,Nass
219,Pink (Even),1960,380814,642308,Nass
219,Pink (Even),1961,NA,NA,Nass
219,Pink (Even),1962,1892597,2722172,Nass
219,Pink (Even),1963,NA,NA,Nass
219,Pink (Even),1964,3132561,4711853,Nass
219,Pink (Even),1965,NA,NA,Nass
219,Pink (Even),1966,1577170,2488165,Nass
219,Pink (Even),1967,NA,NA,Nass
219,Pink (Even),1968,2807509,4972719,Nass
219,Pink (Even),1969,NA,NA,Nass
219,Pink (Even),1970,1521990,2404378,Nass
219,Pink (Even),1971,NA,NA,Nass
219,Pink (Even),1972,2527505,3985183,Nass
219,Pink (Even),1973,NA,NA,Nass
219,Pink (Even),1974,766905,1308909,Nass
219,Pink (Even),1975,NA,NA,Nass
219,Pink (Even),1976,992919,1338511,Nass
219,Pink (Even),1977,NA,NA,Nass
219,Pink (Even),1978,1145818,2137121,Nass
219,Pink (Even),1979,NA,NA,Nass
219,Pink (Even),1980,1018335,1823475,Nass
219,Pink (Even),1981,NA,NA,Nass
219,Pink (Even),1982,1238837,2224594,Nass
219,Pink (Even),1983,NA,NA,Nass
219,Pink (Even),1984,2468996,5497689,Nass
219,Pink (Even),1985,NA,NA,Nass
219,Pink (Even),1986,2943006,6670315,Nass
219,Pink (Even),1987,NA,NA,Nass
219,Pink (Even),1988,1442672,3057099,Nass
219,Pink (Even),1989,NA,NA,Nass
219,Pink (Even),1990,3431780,6149956,Nass
219,Pink (Even),1991,NA,NA,Nass
219,Pink (Even),1992,597072,1126338,Nass
219,Pink (Even),1993,NA,NA,Nass
219,Pink (Even),1994,419130,636786,Nass
219,Pink (Even),1995,NA,NA,Nass
219,Pink (Even),1996,2797784,5388525,Nass
219,Pink (Even),1997,NA,NA,Nass
219,Pink (Even),1998,522623,732549,Nass
219,Pink (Even),1999,NA,NA,Nass
219,Pink (Even),2000,1094709,1704339,Nass
219,Pink (Even),2001,NA,NA,Nass
219,Pink (Even),2002,2281210,3229840,Nass
219,Pink (Even),2003,NA,NA,Nass
219,Pink (Even),2004,2220776,3706813,Nass
219,Pink (Even),2005,NA,NA,Nass
219,Pink (Even),2006,394700,482321,Nass
219,Pink (Even),2007,NA,NA,Nass
219,Pink (Even),2008,213534,251549,Nass
219,Pink (Even),2009,NA,NA,Nass
219,Pink (Even),2010,1009340,1186567,Nass
219,Pink (Even),2011,NA,NA,Nass
219,Pink (Even),2012,1033670,1298582,Nass
219,Pink (Even),2013,NA,NA,Nass
219,Pink (Even),2014,3624384,4700646,Nass
219,Pink (Even),2015,NA,NA,Nass
219,Pink (Even),2016,824510,1075600,Nass
