CUID,Species,Year,LGL counts,Total run,Region
171,Lake Sockeye,1950,NA,NA,Skeena
171,Lake Sockeye,1951,NA,NA,Skeena
171,Lake Sockeye,1952,NA,NA,Skeena
171,Lake Sockeye,1953,NA,NA,Skeena
171,Lake Sockeye,1954,NA,NA,Skeena
171,Lake Sockeye,1955,NA,NA,Skeena
171,Lake Sockeye,1956,NA,NA,Skeena
171,Lake Sockeye,1957,NA,NA,Skeena
171,Lake Sockeye,1958,NA,NA,Skeena
171,Lake Sockeye,1959,NA,NA,Skeena
171,Lake Sockeye,1960,7770,10404,Skeena
171,Lake Sockeye,1961,29417,38663,Skeena
171,Lake Sockeye,1962,22079,29891,Skeena
171,Lake Sockeye,1963,19981,23798,Skeena
171,Lake Sockeye,1964,4218,5645,Skeena
171,Lake Sockeye,1965,17539,22335,Skeena
171,Lake Sockeye,1966,18649,26559,Skeena
171,Lake Sockeye,1967,27752,41234,Skeena
171,Lake Sockeye,1968,33302,46862,Skeena
171,Lake Sockeye,1969,6660,8738,Skeena
171,Lake Sockeye,1970,4995,6569,Skeena
171,Lake Sockeye,1971,2553,3449,Skeena
171,Lake Sockeye,1972,8881,12102,Skeena
171,Lake Sockeye,1973,8881,12627,Skeena
171,Lake Sockeye,1974,3885,5726,Skeena
171,Lake Sockeye,1975,1332,1665,Skeena
171,Lake Sockeye,1976,6660,9141,Skeena
171,Lake Sockeye,1977,15541,21416,Skeena
171,Lake Sockeye,1978,19981,27958,Skeena
171,Lake Sockeye,1979,19981,27234,Skeena
171,Lake Sockeye,1980,33302,46336,Skeena
171,Lake Sockeye,1981,1998,2745,Skeena
171,Lake Sockeye,1982,10546,15318,Skeena
171,Lake Sockeye,1983,14431,16999,Skeena
171,Lake Sockeye,1984,8881,11507,Skeena
171,Lake Sockeye,1985,8881,12429,Skeena
171,Lake Sockeye,1986,23311,31860,Skeena
171,Lake Sockeye,1987,11101,13270,Skeena
171,Lake Sockeye,1988,14431,23145,Skeena
171,Lake Sockeye,1989,16576,22229,Skeena
171,Lake Sockeye,1990,11101,15555,Skeena
171,Lake Sockeye,1991,24421,36394,Skeena
171,Lake Sockeye,1992,17761,30509,Skeena
171,Lake Sockeye,1993,16651,26661,Skeena
171,Lake Sockeye,1994,14431,20658,Skeena
171,Lake Sockeye,1995,18871,30139,Skeena
171,Lake Sockeye,1996,27752,47538,Skeena
171,Lake Sockeye,1997,26642,54391,Skeena
171,Lake Sockeye,1998,20536,27116,Skeena
171,Lake Sockeye,1999,5550,7050,Skeena
171,Lake Sockeye,2000,12087,17995,Skeena
171,Lake Sockeye,2001,19630,24146,Skeena
171,Lake Sockeye,2002,4346,6002,Skeena
171,Lake Sockeye,2003,64724,77736,Skeena
171,Lake Sockeye,2004,15951,18662,Skeena
171,Lake Sockeye,2005,13324,15006,Skeena
171,Lake Sockeye,2006,11489,14204,Skeena
171,Lake Sockeye,2007,35091,42937,Skeena
171,Lake Sockeye,2008,985,1153,Skeena
171,Lake Sockeye,2009,29550,31837,Skeena
171,Lake Sockeye,2010,79168,86221,Skeena
171,Lake Sockeye,2011,44309,51783,Skeena
171,Lake Sockeye,2012,36410,42314,Skeena
171,Lake Sockeye,2013,30504,32550,Skeena
171,Lake Sockeye,2014,11609,12757,Skeena
171,Lake Sockeye,2015,23622,24972,Skeena
171,Lake Sockeye,2016,66659,75920,Skeena
171,Lake Sockeye,2017,13876,14112,Skeena
171,Lake Sockeye,2018,3282,3442,Skeena
171,Lake Sockeye,2019,4311,4730,Skeena
171,Lake Sockeye,2020,466,495,Skeena
171,Lake Sockeye,2021,12655,13820,Skeena
171,Lake Sockeye,2022,23511,25643,Skeena
171,Lake Sockeye,2023,574,625,Skeena
172,Lake Sockeye,1950,NA,NA,Skeena
172,Lake Sockeye,1951,NA,NA,Skeena
172,Lake Sockeye,1952,NA,NA,Skeena
172,Lake Sockeye,1953,NA,NA,Skeena
172,Lake Sockeye,1954,NA,NA,Skeena
172,Lake Sockeye,1955,NA,NA,Skeena
172,Lake Sockeye,1956,NA,NA,Skeena
172,Lake Sockeye,1957,NA,NA,Skeena
172,Lake Sockeye,1958,NA,NA,Skeena
172,Lake Sockeye,1959,NA,NA,Skeena
172,Lake Sockeye,1960,NA,NA,Skeena
172,Lake Sockeye,1961,NA,NA,Skeena
172,Lake Sockeye,1962,NA,NA,Skeena
172,Lake Sockeye,1963,NA,NA,Skeena
172,Lake Sockeye,1964,NA,NA,Skeena
172,Lake Sockeye,1965,NA,NA,Skeena
172,Lake Sockeye,1966,NA,NA,Skeena
172,Lake Sockeye,1967,NA,NA,Skeena
172,Lake Sockeye,1968,NA,NA,Skeena
172,Lake Sockeye,1969,NA,NA,Skeena
172,Lake Sockeye,1970,NA,NA,Skeena
172,Lake Sockeye,1971,NA,NA,Skeena
172,Lake Sockeye,1972,NA,NA,Skeena
172,Lake Sockeye,1973,NA,NA,Skeena
172,Lake Sockeye,1974,NA,NA,Skeena
172,Lake Sockeye,1975,NA,NA,Skeena
172,Lake Sockeye,1976,NA,NA,Skeena
172,Lake Sockeye,1977,NA,NA,Skeena
172,Lake Sockeye,1978,NA,NA,Skeena
172,Lake Sockeye,1979,NA,NA,Skeena
172,Lake Sockeye,1980,NA,NA,Skeena
172,Lake Sockeye,1981,NA,NA,Skeena
172,Lake Sockeye,1982,NA,NA,Skeena
172,Lake Sockeye,1983,NA,NA,Skeena
172,Lake Sockeye,1984,NA,NA,Skeena
172,Lake Sockeye,1985,NA,NA,Skeena
172,Lake Sockeye,1986,NA,NA,Skeena
172,Lake Sockeye,1987,NA,NA,Skeena
172,Lake Sockeye,1988,NA,NA,Skeena
172,Lake Sockeye,1989,NA,NA,Skeena
172,Lake Sockeye,1990,NA,NA,Skeena
172,Lake Sockeye,1991,NA,NA,Skeena
172,Lake Sockeye,1992,NA,NA,Skeena
172,Lake Sockeye,1993,NA,NA,Skeena
172,Lake Sockeye,1994,NA,NA,Skeena
172,Lake Sockeye,1995,NA,NA,Skeena
172,Lake Sockeye,1996,NA,NA,Skeena
172,Lake Sockeye,1997,NA,NA,Skeena
172,Lake Sockeye,1998,NA,NA,Skeena
172,Lake Sockeye,1999,NA,NA,Skeena
172,Lake Sockeye,2000,NA,NA,Skeena
172,Lake Sockeye,2001,NA,NA,Skeena
172,Lake Sockeye,2002,NA,NA,Skeena
172,Lake Sockeye,2003,NA,NA,Skeena
172,Lake Sockeye,2004,NA,NA,Skeena
172,Lake Sockeye,2005,NA,NA,Skeena
172,Lake Sockeye,2006,NA,NA,Skeena
172,Lake Sockeye,2007,NA,NA,Skeena
172,Lake Sockeye,2008,NA,NA,Skeena
172,Lake Sockeye,2009,NA,NA,Skeena
172,Lake Sockeye,2010,NA,NA,Skeena
172,Lake Sockeye,2011,NA,NA,Skeena
172,Lake Sockeye,2012,NA,NA,Skeena
172,Lake Sockeye,2013,NA,NA,Skeena
172,Lake Sockeye,2014,NA,NA,Skeena
172,Lake Sockeye,2015,NA,NA,Skeena
172,Lake Sockeye,2016,NA,NA,Skeena
172,Lake Sockeye,2017,NA,NA,Skeena
172,Lake Sockeye,2018,NA,NA,Skeena
172,Lake Sockeye,2019,NA,NA,Skeena
172,Lake Sockeye,2020,NA,NA,Skeena
173,Lake Sockeye,1950,NA,NA,Skeena
173,Lake Sockeye,1951,NA,NA,Skeena
173,Lake Sockeye,1952,NA,NA,Skeena
173,Lake Sockeye,1953,NA,NA,Skeena
173,Lake Sockeye,1954,NA,NA,Skeena
173,Lake Sockeye,1955,NA,NA,Skeena
173,Lake Sockeye,1956,NA,NA,Skeena
173,Lake Sockeye,1957,NA,NA,Skeena
173,Lake Sockeye,1958,NA,NA,Skeena
173,Lake Sockeye,1959,NA,NA,Skeena
173,Lake Sockeye,1960,NA,NA,Skeena
173,Lake Sockeye,1961,NA,NA,Skeena
173,Lake Sockeye,1962,NA,NA,Skeena
173,Lake Sockeye,1963,NA,NA,Skeena
173,Lake Sockeye,1964,NA,NA,Skeena
173,Lake Sockeye,1965,NA,NA,Skeena
173,Lake Sockeye,1966,NA,NA,Skeena
173,Lake Sockeye,1967,NA,NA,Skeena
173,Lake Sockeye,1968,NA,NA,Skeena
173,Lake Sockeye,1969,NA,NA,Skeena
173,Lake Sockeye,1970,NA,NA,Skeena
173,Lake Sockeye,1971,NA,NA,Skeena
173,Lake Sockeye,1972,NA,NA,Skeena
173,Lake Sockeye,1973,NA,NA,Skeena
173,Lake Sockeye,1974,NA,NA,Skeena
173,Lake Sockeye,1975,NA,NA,Skeena
173,Lake Sockeye,1976,NA,NA,Skeena
173,Lake Sockeye,1977,NA,NA,Skeena
173,Lake Sockeye,1978,NA,NA,Skeena
173,Lake Sockeye,1979,NA,NA,Skeena
173,Lake Sockeye,1980,NA,NA,Skeena
173,Lake Sockeye,1981,NA,NA,Skeena
173,Lake Sockeye,1982,NA,NA,Skeena
173,Lake Sockeye,1983,NA,NA,Skeena
173,Lake Sockeye,1984,NA,NA,Skeena
173,Lake Sockeye,1985,NA,NA,Skeena
173,Lake Sockeye,1986,NA,NA,Skeena
