CUID,Species,Year,Region,LGL.counts
1201,Chinook,1985,Yukon,4058
1201,Chinook,1986,Yukon,5927
1201,Chinook,1987,Yukon,3978
1201,Chinook,1988,Yukon,6484
1201,Chinook,1989,Yukon,13090
1201,Chinook,1990,Yukon,8387
1201,Chinook,1991,Yukon,3639
1201,Chinook,1992,Yukon,15155
1201,Chinook,1993,Yukon,4105
1201,Chinook,1994,Yukon,6185
1201,Chinook,1995,Yukon,7978
1201,Chinook,1996,Yukon,12048
1201,Chinook,1997,Yukon,14686
1201,Chinook,1998,Yukon,7345
1201,Chinook,1999,Yukon,4831
1201,Chinook,2000,Yukon,5560
1201,Chinook,2001,Yukon,2928
1201,Chinook,2002,Yukon,5050
1201,Chinook,2003,Yukon,6710
1201,Chinook,2004,Yukon,5769
1201,Chinook,2005,Yukon,12044
1201,Chinook,2006,Yukon,6660
1201,Chinook,2007,Yukon,5460
1201,Chinook,2008,Yukon,2686
1201,Chinook,2009,Yukon,12036
1201,Chinook,2010,Yukon,2754
1201,Chinook,2011,Yukon,4773
1201,Chinook,2012,Yukon,2906
1201,Chinook,2013,Yukon,2495
1201,Chinook,2014,Yukon,5170
1201,Chinook,2015,Yukon,9013
1201,Chinook,2016,Yukon,5179
1201,Chinook,2017,Yukon,8532
1201,Chinook,2018,Yukon,7892
1201,Chinook,2019,Yukon,6390
1201,Chinook,2020,Yukon,6379
1201,Chinook,2021,Yukon,5762
1201,Chinook,2022,Yukon,2798
1203,Chinook,1985,Yukon,5968
1203,Chinook,1986,Yukon,9016
1203,Chinook,1987,Yukon,7498
1203,Chinook,1988,Yukon,10963
1203,Chinook,1989,Yukon,7902
1203,Chinook,1990,Yukon,17583
1203,Chinook,1991,Yukon,7393
1203,Chinook,1992,Yukon,8763
1203,Chinook,1993,Yukon,5333
1203,Chinook,1994,Yukon,5861
1203,Chinook,1995,Yukon,10831
1203,Chinook,1996,Yukon,6094
1203,Chinook,1997,Yukon,8509
1203,Chinook,1998,Yukon,8282
1203,Chinook,1999,Yukon,5082
1203,Chinook,2000,Yukon,5768
1203,Chinook,2001,Yukon,6881
1203,Chinook,2002,Yukon,5214
1203,Chinook,2003,Yukon,13101
1203,Chinook,2004,Yukon,9303
1203,Chinook,2005,Yukon,8118
1203,Chinook,2006,Yukon,14536
1203,Chinook,2007,Yukon,6367
1203,Chinook,2008,Yukon,3263
1203,Chinook,2009,Yukon,13937
1203,Chinook,2010,Yukon,5538
1203,Chinook,2011,Yukon,4808
1203,Chinook,2012,Yukon,5167
1203,Chinook,2013,Yukon,4838
1203,Chinook,2014,Yukon,9023
1203,Chinook,2015,Yukon,13780
1203,Chinook,2016,Yukon,14613
1203,Chinook,2017,Yukon,15514
1203,Chinook,2018,Yukon,9907
1203,Chinook,2019,Yukon,10836
1203,Chinook,2020,Yukon,4158
1203,Chinook,2021,Yukon,4542
1203,Chinook,2022,Yukon,1533
1204,Chinook,1985,Yukon,4849
1204,Chinook,1986,Yukon,9454
1204,Chinook,1987,Yukon,5589
1204,Chinook,1988,Yukon,5034
1204,Chinook,1989,Yukon,665
1204,Chinook,1990,Yukon,717
1204,Chinook,1991,Yukon,5265
1204,Chinook,1992,Yukon,8338
1204,Chinook,1993,Yukon,7259
1204,Chinook,1994,Yukon,718
1204,Chinook,1995,Yukon,14436
