"","CUID","Species","Year","Region","LGL.counts"
"1","1202","Chinook",1985,"Yukon",3111.36587924355
"2","1202","Chinook",1986,"Yukon",1682.73892779895
"3","1202","Chinook",1987,"Yukon",570.646373235441
"4","1202","Chinook",1988,"Yukon",780.604131167794
"5","1202","Chinook",1989,"Yukon",442.568381029649
"6","1202","Chinook",1990,"Yukon",289.336876583966
"7","1202","Chinook",1991,"Yukon",411.881217513012
"8","1202","Chinook",1992,"Yukon",618.412405138014
"9","1202","Chinook",1993,"Yukon",1182.29568461146
"10","1202","Chinook",1994,"Yukon",3075.20919356842
"11","1202","Chinook",1995,"Yukon",5507.67732496451
"12","1202","Chinook",1996,"Yukon",3232.6029112813
"13","1202","Chinook",1997,"Yukon",1176.60381088734
"14","1202","Chinook",1998,"Yukon",2673.4356413893
"15","1202","Chinook",1999,"Yukon",2123.33409078273
"16","1202","Chinook",2000,"Yukon",3008.04314386048
"17","1202","Chinook",2001,"Yukon",7951.80256397798
"18","1202","Chinook",2002,"Yukon",1200.69004509864
"19","1202","Chinook",2003,"Yukon",1173.38651456694
"20","1202","Chinook",2004,"Yukon",2046.93802873011
"21","1202","Chinook",2005,"Yukon",664.633833348498
"22","1202","Chinook",2006,"Yukon",3948.57394140356
"23","1202","Chinook",2007,"Yukon",2083.5802527585
"24","1202","Chinook",2008,"Yukon",698.846307099783
"25","1202","Chinook",2009,"Yukon",1545.46964274567
"26","1202","Chinook",2010,"Yukon",1784.66016291462
"27","1202","Chinook",2011,"Yukon",587.971487223316
"28","1202","Chinook",2012,"Yukon",987.37865240313
"29","1202","Chinook",2013,"Yukon",2275.8518465023
"30","1202","Chinook",2014,"Yukon",578.412783731122
"31","1202","Chinook",2015,"Yukon",3805.67009074902
"32","1202","Chinook",2016,"Yukon",4401.82509940736
"33","1202","Chinook",2017,"Yukon",3235.54937496641
"34","1202","Chinook",2018,"Yukon",2294.85835106225
"35","1202","Chinook",2019,"Yukon",558.247323928285
"36","1202","Chinook",2020,"Yukon",1651.37736329218
"37","1202","Chinook",2021,"Yukon",1135.86251798742
"38","1202","Chinook",2022,"Yukon",637.430722379927
"39","1202","Chinook",2023,"Yukon",819.050507177415
"40","1203","Chinook",1985,"Yukon",7572.35779521503
"41","1203","Chinook",1986,"Yukon",14725.1329434602
"42","1203","Chinook",1987,"Yukon",10566.4172520647
"43","1203","Chinook",1988,"Yukon",7062.77886166907
"44","1203","Chinook",1989,"Yukon",7709.50162560215
"45","1203","Chinook",1990,"Yukon",12895.6215948646
"46","1203","Chinook",1991,"Yukon",10152.8585446513
"47","1203","Chinook",1992,"Yukon",14610.1397094761
"48","1203","Chinook",1993,"Yukon",6872.77430122497
"49","1203","Chinook",1994,"Yukon",8054.35799748767
"50","1203","Chinook",1995,"Yukon",7440.31613711616
"51","1203","Chinook",1996,"Yukon",7992.47805100345
"52","1203","Chinook",1997,"Yukon",9494.89108988791
"53","1203","Chinook",1998,"Yukon",5856.84195849757
"54","1203","Chinook",1999,"Yukon",6589.58185325382
"55","1203","Chinook",2000,"Yukon",8778.51007973147
"56","1203","Chinook",2001,"Yukon",10973.7954017387
"57","1203","Chinook",2002,"Yukon",4435.68758705939
"58","1203","Chinook",2003,"Yukon",13426.7465353262
"59","1203","Chinook",2004,"Yukon",10411.1756915613
"60","1203","Chinook",2005,"Yukon",11119.3645651104
"61","1203","Chinook",2006,"Yukon",10905.7081411911
"62","1203","Chinook",2007,"Yukon",7690.20697894233
"63","1203","Chinook",2008,"Yukon",4409.78359311466
"64","1203","Chinook",2009,"Yukon",16699.3274221236
"65","1203","Chinook",2010,"Yukon",11155.0015941191
"66","1203","Chinook",2011,"Yukon",8656.67413939485
"67","1203","Chinook",2012,"Yukon",6288.80915692934
"68","1203","Chinook",2013,"Yukon",3635.06595262612
"69","1203","Chinook",2014,"Yukon",5227.77448333171
"70","1203","Chinook",2015,"Yukon",13275.8664430902
"71","1203","Chinook",2016,"Yukon",12704.1470586113
"72","1203","Chinook",2017,"Yukon",8491.60896230884
"73","1203","Chinook",2018,"Yukon",7345.32721372692
"74","1203","Chinook",2019,"Yukon",3970.14934422157
"75","1203","Chinook",2020,"Yukon",4581.08729434286
"76","1203","Chinook",2021,"Yukon",4840.56699094119
"77","1203","Chinook",2022,"Yukon",930.733284492599
"78","1203","Chinook",2023,"Yukon",1839.1209727272
"79","1204","Chinook",1985,"Yukon",13126.8260273442
"80","1204","Chinook",1986,"Yukon",18632.1911538816
"81","1204","Chinook",1987,"Yukon",13861.1493999174
"82","1204","Chinook",1988,"Yukon",9377.4646671996
"83","1204","Chinook",1989,"Yukon",22226.7874969991
"84","1204","Chinook",1990,"Yukon",10296.1367193739
"85","1204","Chinook",1991,"Yukon",28168.4712678388
"86","1204","Chinook",1992,"Yukon",15697.6371649362
"87","1204","Chinook",1993,"Yukon",13787.3728428048
"88","1204","Chinook",1994,"Yukon",11382.9493274749
"89","1204","Chinook",1995,"Yukon",31006.862751949
"90","1204","Chinook",1996,"Yukon",21413.6338973711
"91","1204","Chinook",1997,"Yukon",41876.8696791862
"92","1204","Chinook",1998,"Yukon",7014.60622186128
"93","1204","Chinook",1999,"Yukon",10665.4029912883
"94","1204","Chinook",2000,"Yukon",17550.3256863314
"95","1204","Chinook",2001,"Yukon",33392.6319828707
"96","1204","Chinook",2002,"Yukon",24770.3987040942
"97","1204","Chinook",2003,"Yukon",16910.6788359385
"98","1204","Chinook",2004,"Yukon",13414.8389969177
"99","1204","Chinook",2005,"Yukon",22016.625928567
"100","1204","Chinook",2006,"Yukon",24658.1242129521
"101","1204","Chinook",2007,"Yukon",5942.42752096562
"102","1204","Chinook",2008,"Yukon",14985.784682839
"103","1204","Chinook",2009,"Yukon",12936.751678567
"104","1204","Chinook",2010,"Yukon",7172.51550265553
"105","1204","Chinook",2011,"Yukon",14575.5205781531
"106","1204","Chinook",2012,"Yukon",5942.96090194533
"107","1204","Chinook",2013,"Yukon",12703.9828845064
"108","1204","Chinook",2014,"Yukon",21282.1911517281
"109","1204","Chinook",2015,"Yukon",30386.3947603199
"110","1204","Chinook",2016,"Yukon",17935.9628882586
"111","1204","Chinook",2017,"Yukon",26304.1042460527
"112","1204","Chinook",2018,"Yukon",23390.2188637087
"113","1204","Chinook",2019,"Yukon",13991.8471048932
"114","1204","Chinook",2020,"Yukon",8987.08241876765
"115","1204","Chinook",2021,"Yukon",9825.56318697014
"116","1204","Chinook",2022,"Yukon",6786.53093289368
"117","1204","Chinook",2023,"Yukon",3040.49729104899
"118","1205","Chinook",1985,"Yukon",5082.16614769576
"119","1205","Chinook",1986,"Yukon",6978.73809151301
"120","1205","Chinook",1987,"Yukon",2718.32557323784
"121","1205","Chinook",1988,"Yukon",2590.54621971433
"122","1205","Chinook",1989,"Yukon",2785.71376818705
"123","1205","Chinook",1990,"Yukon",2994.8354398214
"124","1205","Chinook",1991,"Yukon",3633.13645570256
"125","1205","Chinook",1992,"Yukon",3262.69479497212
"126","1205","Chinook",1993,"Yukon",1440.49954314397
"127","1205","Chinook",1994,"Yukon",4195.61758088928
"128","1205","Chinook",1995,"Yukon",6190.45762785642
"129","1205","Chinook",1996,"Yukon",3178.71517383842
"130","1205","Chinook",1997,"Yukon",5217.68227615616
"131","1205","Chinook",1998,"Yukon",3025.7754780568
"132","1205","Chinook",1999,"Yukon",2417.8115029686
"133","1205","Chinook",2000,"Yukon",2367.19609587201
"134","1205","Chinook",2001,"Yukon",3962.25431524638
"135","1205","Chinook",2002,"Yukon",2807.81873243628
"136","1205","Chinook",2003,"Yukon",1647.90136526223
"137","1205","Chinook",2004,"Yukon",2800.05744760334
"138","1205","Chinook",2005,"Yukon",1962.25525321731
"139","1205","Chinook",2006,"Yukon",6266.262343692
"140","1205","Chinook",2007,"Yukon",9878.72480674787
"141","1205","Chinook",2008,"Yukon",1886.8198107551
"142","1205","Chinook",2009,"Yukon",3975.67698224275
"143","1205","Chinook",2010,"Yukon",852.028834061454
"144","1205","Chinook",2011,"Yukon",8865.42914044321
"145","1205","Chinook",2012,"Yukon",605.166493044981
"146","1205","Chinook",2013,"Yukon",965.158411920879
"147","1205","Chinook",2014,"Yukon",2876.54557777638
"148","1205","Chinook",2015,"Yukon",3929.21159030008
"149","1205","Chinook",2016,"Yukon",5055.8587202098
"150","1205","Chinook",2017,"Yukon",2832.34737287695
"151","1205","Chinook",2018,"Yukon",2715.35359507659
"152","1205","Chinook",2019,"Yukon",2668.70134739304
"153","1205","Chinook",2020,"Yukon",1496.11513966169
"154","1205","Chinook",2021,"Yukon",2579.22269800867
